task_text,count
害虫駆除,55
排気/換気口清掃（年1 10月） 1,39
ゴミ回収（毎日） 1,37
粗大ゴミ回収 実費請求 1,36
レンジフード清掃,30
ホール床清掃,30
ネズミ駆除,29
エアコン清掃,27
キッチン床清掃（半年 10月 5月） 1,27
厨房床洗浄,26
床清掃,17
気になったところ丸っと清掃する。,16
エアコンフィルター清掃（毎月）,16
害虫駆除（毎月） 1,16
トイレ洗浄,15
カーペット洗浄,15
上引 ロースター清掃,15
害虫駆除（毎月）,15
厨房機器洗浄（ゴミの掻き出し）,14
ネズミ駆除（毎月）,14
厨房床清掃,14
ホール床清掃（半年 10月 5月） 1,14
エアコン分解洗浄（年1 10月）（天カセ6台/ビルトイン1台） 7,14
ごみ回収（毎日）,14
粗大ごみ回収（実費請求）,14
アポイント形式：対面,13
換気扇洗浄,13
エアコン分解洗浄（年1 10月）（天カセ） 6,13
レンジフード（グリスフィルター）,12
天井埃取り,12
キッチン床清掃,12
キッチン配管高圧洗浄（半年 10月 5月） 1,12
エアコンフィルター清掃,11
グレーチング清掃,10
清掃を外注しているか：Yes,9
厨房機器洗浄,9
エアコンフィルター清掃 毎月,9
フィルターケース分解洗浄 スポット,9
害獣駆除（毎月） 1,9
初回清掃,9
キッチン配管高圧洗浄（年2回）,9
生ごみ回収（毎日｜45L×3袋上限）,8
トイレ洗浄（毎月） 2,8
厨房床清掃（毎月） 1,8
床ホール清掃（毎月） 1,8
ネズミ駆除メイン,8
ネズミ駆除（定期清掃）,8
キッチン/ホール等の占有部分の清掃,8
キッチン清掃（隔月）,8
ホール清掃（隔月）,8
ダクト周辺清掃（隔月）,8
粗大ゴミ回収（実費請求）,8
階段床清掃,8
換気扇清掃,8
トイレ分解洗浄,8
9月清掃タスク,8
換気扇モーター清掃,8
毎日のゴミ回収,8
•エアコンフィルター清掃,7
•グリスフィルター清掃,7
•厨房床清掃／厨房機器下清掃,7
•厨房フィルター清掃,7
•レンジフード清掃,7
•ホール床清掃,7
•冷蔵庫コンデンサー清掃,7
•1階・2階 窓清掃,7
•壁清掃,7
シンク清掃,7
エアコンフィルター洗浄（毎月） 1,7
冷蔵庫清掃（都度） 1,7
トイレ清掃,7
冷蔵庫フィルター清掃（毎月） 6,7
排気／換気口清掃（年1）,7
オーブン機器清掃,7
厨房床清掃/厨房機器下清掃,7
厨房機器フィルター清掃,7
エアコン分解洗浄（年1 10月）（天カセ4台／ビルトイン1台）,7
害虫駆除、ネズミ駆除,7
不⽤品回収 半年に１回,6
厨房機器洗浄（ゴミ搔き出し）３ヶ月に１回,6
カーペット洗浄 半年に１回,6
厨房床洗浄 半年に１回,6
害⾍駆除 毎月,6
業務⽤エアコン清掃 毎月,6
換気扇洗浄 毎月,6
キッチン床/ホール床清掃,6
ビールサーバー清掃,6
"手が届く範囲でのダクト清掃 77\,000円 ＋ 開口部補修 15\,000円",6
"ファンモータ清掃 33\,000円",6
レンジフード／プロペラファン清掃,6
家庭用冷蔵庫拭き上げ,6
壁掛けエアコンフィルター清掃,6
水シンク1台・手洗い洗面清掃,6
ガスコンロ周りの清掃,6
コンロ回り／ガス台回り,6
製氷機まわり清掃,6
厨房壁清掃,6
シール剥がし,6
ホール床清掃（※重点箇所）,6
グリスフィルター清掃（8枚）,6
エアコンフィルター清掃（3台）,6
レンジフード分解清掃（2基）,6
ファンモーター点検,6
キッチン床ドライ清掃（半年 5月） 1,6
ホール床清掃（半年） 1,6
エアコン分解洗浄（年1 10月）（天カセ３台） 3,6
キッチン高圧洗浄（年２回 10月4月） 1,6
毎日ゴミ回収,6
ゴミ回収：袋２個分がお店の前に出してありますので、写真を取って回収を行なってください。,6
清掃に関する課題感：,5
＜清掃項目＞,5
天カセエアコンフィルター洗浄7,5
室外機洗浄2,5
レンジフード分解清掃1,5
害虫駆除1,5
ネズミ駆除1,5
ネズミ駆除（ファインメッシュでの防鼠）←重要,5
焼き台清掃,5
ガス台まわり清掃,5
ものすごく狭い店なので、３人は清掃で入れません。,5
高圧洗浄機かホースで外洗いになります。,5
レンジフード清掃（隔月） →1.3.5.7.9.11月,5
キッチン床清掃（隔月） →1.3.5.7.9.11月,5
床清掃（隔月） →1.3.5.7.9.11月,5
グレーチング清掃（半年）→5月.11月,5
"毎月 不用品 / 粗大ゴミ回収 （※処分代実費） ¥5\,000 1",5
"6ヶ月に一度 床ポリッシャー洗浄（キッチン） ¥2\,000 1",5
"6ヶ月に一度 床ポリッシャー洗浄（タイル、石材、フローリング床） ¥2\,455 2",5
"12ヶ月に一度 エアコン分解洗浄（天カセ型4方向） ¥2\,939 3",5
"12ヶ月に一度 トイレ洗浄（分解洗浄あり） ¥1\,000 2",5
キッチン床清掃（半年 5月） 1,5
ホール床清掃（半年 5月） 1,5
エアコン分解洗浄（年1 10月）（天カセ3台/業務用１方向） 4,5
粗大ゴミ回収 実費請求 1バキューム 11,5
ダクト左側油受けが前回の清掃時にネジが取れ,5
又、ダクト下の皿を置く棚の清掃もお願い致します。,5
ホール床清掃が元々契約に含まれていたと仰せ)12月お願いできますか？,5
キッチン床清掃（半年）→2025.10/22実施済 次回は26年４月,5
エアコン分解洗浄（年1｜天カセ6台）→2025.10/22実施済,5
キッチン配管高圧洗浄（12月、6月）,5
キッチン床清掃（半年 12月、6月 ）,5
ホール床清掃（半年 12月、6月 ）,5
排気／換気口清掃（年1 12月）,5
キッチン配管高圧洗浄（年２回）※1回目26年4月、2回目は相談,5
キッチン床清掃（半年） 1．7月,5
ホール床清掃（半年 ）1．7月,5
エアコン分解洗浄（月）（天カセ4台／ビルトイン1台）,5
排気／換気口清掃（年1 1月）,5
ゴキブリ駆除,4
毎月 ネズミ駆除,4
ホール/キッチン床清掃 ２ヶ月に１回,4
キッチン 掃き出し フィルター清掃,4
＋事務所清掃,4
エアコン一台 分解洗浄,4
フィルター洗浄 2台,4
トイレの配管等清掃依頼 12/1８LINE WORKSより,4
トイレの配管などの清掃,4
ホール床清掃（隔月） 1,4
作業台・収納棚の裏や隙間の汚れ清掃,4
手洗い場およびトイレ（床・便器など）の汚れ除去,4
壁や天井のクモの巣取り,4
厨房機器周辺（コーヒーメーカー等）の油汚れ清掃,4
店内換気扇の内側洗浄（毎月）2台,4
スポット：ゴミ回収,4
生ごみ毎日回収（45L 3袋上限）,4
キッチン清掃（偶数月：12月・2月・4月…）,4
ホール床清掃（奇数月：1月・3月・5月…）,4
ホール床ワックス仕上げ,4
レンジフード周りグリスフィルター清掃（6回）,4
グレーチング清掃（2か所）,4
キッチン回り清掃（3か所）,4
トイレ清掃（4回）,4
階段清掃（2回）,4
二重ドア清掃,4
まな板ならし（木材、プラ）（3か月毎）,4
外注業務：,3
費用感：,3
3ヶ月に一度 床洗浄（タイル、石材、フローリング床）ポリッシャー,3
6ヶ月に一度 床洗浄（キッチン）,3
12ヶ月に一度 エアコン分解洗浄（4方向）,3
高圧洗浄追加依頼,3
毎月最初の清掃で月一清掃を行う。,3
ガラス清掃（週1）,3
シンク洗浄（週1）1,3
カラオケ部屋清掃（週1）1,3
床ポリッシャー洗浄/床下ゴミ掻き出し（月1）害虫駆除（月1）,3
害獣駆除（月1）,3
エアコンフィルター洗浄（月1）,3
厨房シンク清掃（月1）,3
ゴミ回収（毎日）,3
ルーム型1台、ビルトイン４台分解洗浄（年1 5月） 5,3
ルーム型1台、ビルトイン４台フィルター清掃（年1 10月） 4,3
小上がりホール床部分清掃（年1 10月） 1,3
ショーケースの中清掃（サンポール）,3
ショーケース下の埃とり（ブラシ/） 掃き出し フィルター清掃,3
配管清掃（高圧洗浄） スポット依頼,3
エアコン分解洗浄（年2回）3台 3.10月,3
スタッフ不在時に入店が必要な場合は、必ず事前・事後に報告,3
費用感：電話口では不明,2
天カセ エアコン分解洗浄 1,2
