best_score,best_tenpo_id,best_tenpo_name,best_torihikisaki_name,file_name,reason,zip_path
25.0,TENPO#0134,丸鶏 るいすけ 店舗未設定,㈱ロイヤルストレートフラッシュ,【スポット】テンプレート _ミセサポ利用者登録申込書 のコピー.docx,low_score<84.0,店舗ごと契約書/【スポット】テンプレート _ミセサポ利用者登録申込書 のコピー.docx
15.38,TENPO#0036,ルミネ立川,株式会社 東亜フードサービス,ミセサポ利用規約.docx,low_score<84.0,店舗ごと契約書/ミセサポ利用規約.docx
25.0,TENPO#001,サンプル店舗,サンプル取引先,ミセサポ利用者登録申込書　テンプレート.xlsx,low_score<84.0,店舗ごと契約書/ミセサポ利用者登録申込書　テンプレート.xlsx
19.05,TENPO#0059,ニューサカナヤキオ,株式会社オン・ザ・プラネット,【定期】テンプレート_ミセサポ利用者登録申込書（料金表付き）_.docx,low_score<84.0,店舗ごと契約書/【定期】テンプレート_ミセサポ利用者登録申込書（料金表付き）_.docx
15.38,TENPO#0036,ルミネ立川,株式会社 東亜フードサービス,ミセサポ利用規約.pdf,low_score<84.0,店舗ごと契約書/ミセサポ利用規約.pdf
20.0,TENPO#0134,丸鶏 るいすけ 店舗未設定,㈱ロイヤルストレートフラッシュ,プラチナフィッシュ KAPPO_ミセサポ利用者登録申込書.docx,low_score<84.0,店舗ごと契約書/プラチナフィッシュ KAPPO/プラチナフィッシュ KAPPO_ミセサポ利用者登録申込書.docx
18.18,TENPO#0007,https://www.notion.so泉岳寺駅前店,株式会社テラケン,【スポット】大衆酒屋 てらけん本家 泉岳寺駅前店_ミセサポ利用者登録申込書.docx のコピー のコピー.docx,low_score<84.0,店舗ごと契約書/株式会社テラケン/【スポット】大衆酒屋 てらけん本家 泉岳寺駅前店_ミセサポ利用者登録申込書.docx のコピー のコピー.docx
11.76,TENPO#0004,横浜元町 de 焼肉DOURAKU(どうらく),株式会社たき航グループ,【定期】中国料理 かおたん_ミセサポ利用者登録申込書（料金表付き）.docx,low_score<84.0,店舗ごと契約書/株式会社東神/【定期】中国料理 かおたん_ミセサポ利用者登録申込書（料金表付き）.docx
7.41,TENPO#0036,ルミネ立川,株式会社 東亜フードサービス,【定期】株式会社 鬼金棒_ミセサポ利用者登録申込書（料金表付き） .docx,low_score<84.0,店舗ごと契約書/株式会社 鬼金棒/【定期】株式会社 鬼金棒_ミセサポ利用者登録申込書（料金表付き） .docx
25.81,TENPO#0004,横浜元町 de 焼肉DOURAKU(どうらく),株式会社たき航グループ,【スポット】株式会社ファイブグループ_ミセサポ利用者登録申込書.docx,low_score<84.0,店舗ごと契約書/株式会社ファイブグループ/【スポット】株式会社ファイブグループ_ミセサポ利用者登録申込書.docx
33.33,TENPO#0098,新橋店,株式会社ビック・バン,居酒屋ビック新河岸店_ミセサポ利用者登録申込書.docx,low_score<84.0,店舗ごと契約書/居酒屋ビック/居酒屋ビック新河岸店_ミセサポ利用者登録申込書.docx
22.22,TENPO#0082,別館,ニーハオ食品株式会社,申込書_中華食堂一番館.pdf,low_score<84.0,店舗ごと契約書/株式会社友進/申込書_中華食堂一番館.pdf
36.36,TENPO#0110,MASSIMOTTVIO 店舗未設定,株式会社2M8,2025-09-08.pdf,low_score<84.0,店舗ごと契約書/株式会社テイクユー/2025-09-08.pdf
10.0,TENPO#0130,渋谷円山町店,株式会社がっと,鮨ひのもと_ミセサポ利用者登録申込書.docx,low_score<84.0,店舗ごと契約書/株式会社クラウンセンス/鮨ひのもと_ミセサポ利用者登録申込書.docx
19.51,TENPO#0120,発酵デリカテッセンカフェテリアKouji&ko,株式会社フードアンドパートナーズ,【定期】テンプレート_ミセサポ利用者登録申込書（料金表付き）  のコピー.docx,low_score<84.0,店舗ごと契約書/株式会社ラグーンインターナショナル/【定期】テンプレート_ミセサポ利用者登録申込書（料金表付き）  のコピー.docx
28.57,TENPO#0067,平和台店,合同会社いのこフード,株式会社いのこ_ミセサポ利用者登録申込書.docx,low_score<84.0,店舗ごと契約書/株式会社いのこ/株式会社いのこ_ミセサポ利用者登録申込書.docx
48.28,TENPO#0036,ルミネ立川,株式会社 東亜フードサービス,光フードサービス　覚書（株式会社ミセサポ）240403.pdf,low_score<84.0,店舗ごと契約書/光フードサービス/光フードサービス　覚書（株式会社ミセサポ）240403.pdf
17.39,TENPO#a5ac0abc6dfe,N2,T2,ミセサポ利用登録申込書20250926.pdf,low_score<84.0,店舗ごと契約書/株式会社オン・ザ・プラネット/ミセサポ利用登録申込書20250926.pdf
37.21,TENPO#0036,ルミネ立川,株式会社 東亜フードサービス,光フードサービス　ミセサポ清掃委託契約解約合意書240919.pdf,low_score<84.0,店舗ごと契約書/光フードサービス/光フードサービス　ミセサポ清掃委託契約解約合意書240919.pdf
19.51,TENPO#0120,発酵デリカテッセンカフェテリアKouji&ko,株式会社フードアンドパートナーズ,【定期】テンプレート_ミセサポ利用者登録申込書（料金表付き）  のコピー.docx,low_score<84.0,店舗ごと契約書/株式会社肉屋食堂たけうち/【定期】テンプレート_ミセサポ利用者登録申込書（料金表付き）  のコピー.docx
18.18,TENPO#0100,新橋2号店,株式会社ビック・バン,ミセサポ_新橋_利用者登録申込書_20250728_DE捺印済 (1).pdf,low_score<84.0,店舗ごと契約書/株式会社ダイニングエッジ/ミセサポ_新橋_利用者登録申込書_20250728_DE捺印済 (1).pdf
25.0,TENPO#0130,渋谷円山町店,株式会社がっと,鮨ひのもと.jpeg,low_score<84.0,店舗ごと契約書/株式会社クラウンセンス/鮨ひのもと.jpeg
48.28,TENPO#0112,板前寿司愛宕店 店舗未設定,板前寿司ジャパン,板前寿司　愛宕店_利用者申込書.docx.docx,low_score<84.0,店舗ごと契約書/株式会社 板前寿司ジャパン/板前寿司　愛宕店_利用者申込書.docx.docx
42.42,TENPO#0036,ルミネ立川,株式会社 東亜フードサービス,光フードサービス　【株式会社ミセサポ】清掃委託契約240401.pdf,low_score<84.0,店舗ごと契約書/光フードサービス/光フードサービス　【株式会社ミセサポ】清掃委託契約240401.pdf
54.55,TENPO#0122,ロケ弁エージェント 店舗未設定,有限会社タカネット,ロケ弁エージェント_利用者申込書.docx.docx,low_score<84.0,店舗ごと契約書/有限会社タカネット/ロケ弁エージェント_利用者申込書.docx.docx
28.57,TENPO#0116,西麻布店,株式会社カワイハイ,西麻布ZERO_利用者申込書.docx.docx,low_score<84.0,店舗ごと契約書/合同会社港エージェンシー/西麻布ZERO_利用者申込書.docx.docx
27.27,TENPO#0076,焼肉 松の屋,焼肉 松の屋,焼肉商店 浦島屋 津田沼店_利用者申込書.docx,low_score<84.0,店舗ごと契約書/株式会社ストラク/焼肉商店 浦島屋 津田沼店_利用者申込書.docx
26.67,TENPO#0110,MASSIMOTTVIO 店舗未設定,株式会社2M8,20251208-1529.pdf,low_score<84.0,店舗ごと契約書/株式会社肉屋食堂たけうち/20251208-1529.pdf
14.29,TENPO#0036,ルミネ立川,株式会社 東亜フードサービス,手作りの味噌らーめん　味噌樽_ミセサポ利用者登録申込書.docx のコピー.docx,low_score<84.0,店舗ごと契約書/株式会社 GRAST/手作りの味噌らーめん　味噌樽_ミセサポ利用者登録申込書.docx のコピー.docx
18.18,TENPO#0030,蕎麦割烹居酒屋　更科天狐,株式会社エイトシナジー,人形町和食居酒屋なかまる_利用者申込書.docx.docx,low_score<84.0,店舗ごと契約書/ NAYUTA 合同会社/人形町和食居酒屋なかまる_利用者申込書.docx.docx
23.08,TENPO#0040,五反田店,株式会社フォーシーズ,東京五反田串揚げ酒場仲丸_利用者申込書.docx.docx,low_score<84.0,店舗ごと契約書/ NAYUTA 合同会社/東京五反田串揚げ酒場仲丸_利用者申込書.docx.docx
28.57,TENPO#0010,神田店,株式会社ティーアンドティー,リストランティアーノ ルベロ_利用者申込書.docx,low_score<84.0,店舗ごと契約書/リストランティアーノ ルベロ/リストランティアーノ ルベロ_利用者申込書.docx
30.0,TENPO#0132,atomic BAR,Japrise,BAR FD_利用者申込書.docx,low_score<84.0,店舗ごと契約書/株式会社Next Culture/BAR FD_利用者申込書.docx
23.53,TENPO#0134,丸鶏 るいすけ 店舗未設定,㈱ロイヤルストレートフラッシュ,創作イタリアン肉バル スオーノ_利用者申込書.docx,low_score<84.0,店舗ごと契約書/創作イタリアン肉バル スオーノ/創作イタリアン肉バル スオーノ_利用者申込書.docx
19.35,TENPO#0108,御座敷天婦羅　神楽坂 天孝,御座敷天婦羅　神楽坂 天孝,完全会員制 お座敷遊び 料亭 「独楽」_利用者申込書.docx,low_score<84.0,店舗ごと契約書/株式会社しゃぶ庵/完全会員制 お座敷遊び 料亭 「独楽」_利用者申込書.docx
40.0,TENPO#0078,新橋本店,株式会社ダイニングエッジ,ダイニングバー Rupo_利用者申込書.docx,low_score<84.0,店舗ごと契約書/アークワークス株式会社/ダイニングバー Rupo_利用者申込書.docx
32.43,TENPO#0109,隣のロッヂ,株式会社CatchBall,ヨドバシAkiba店 ステーキロッヂ_利用者申込書.docx,low_score<84.0,店舗ごと契約書/株式会社価値創り研究所/ヨドバシAkiba店 ステーキロッヂ_利用者申込書.docx
27.27,TENPO#0014,渋谷店,GOSSO株式会社,渋谷道玄坂店 ステーキロッヂ_利用者申込書.docx,low_score<84.0,店舗ごと契約書/株式会社価値創り研究所/渋谷道玄坂店 ステーキロッヂ_利用者申込書.docx
24.0,TENPO#0042,麹町店,メティウスフーズ,ミセサポ利用規約_アクティブソース様.docx,low_score<84.0,店舗ごと契約書/アクティブソース/ミセサポ利用規約_アクティブソース様.docx
16.0,TENPO#831c7b195bff,DEMO店舗,DEMO取引先,明大前 武蔵野油学会_利用者申込書.docx.docx,low_score<84.0,店舗ごと契約書/株式会社ギガデイン/明大前 武蔵野油学会_利用者申込書.docx.docx
19.67,TENPO#0050,ホルモンのマンモス 店舗未設定,株式会社オン・ザ・プラネット,0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 横浜西口店_ミセサポ利用者登録申込書.docx,low_score<84.0,店舗ごと契約書/株式会社GOSSO/0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 横浜西口店_ミセサポ利用者登録申込書.docx
37.04,TENPO#0024,中野製作所 まんてん別館,株式会社まんてん,炉端居酒屋 中野製作所_利用者申込書.docx,low_score<84.0,店舗ごと契約書/株式会社まんてん/炉端居酒屋 中野製作所_利用者申込書.docx
19.67,TENPO#0050,ホルモンのマンモス 店舗未設定,株式会社オン・ザ・プラネット,0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 池袋西口店_ミセサポ利用者登録申込書.docx,low_score<84.0,店舗ごと契約書/株式会社GOSSO/0秒レモンサワー 仙台ホルモン焼肉酒場 ときわ亭 池袋西口店_ミセサポ利用者登録申込書.docx
25.0,TENPO#0029,日本橋茅場町店,株式会社 Dart Ace,251106_茅場町ダーツバー求積図.pdf,low_score<84.0,店舗ごと契約書/株式会社 Dart Ace/茅場町店　床補修案件/251106_茅場町ダーツバー求積図.pdf
23.53,TENPO#a5ac0abc6dfe,N2,T2,20251209 塗装見積書.pdf,low_score<84.0,店舗ごと契約書/株式会社 Dart Ace/茅場町店　床補修案件/20251209 塗装見積書.pdf
31.11,TENPO#0122,ロケ弁エージェント 店舗未設定,有限会社タカネット,【カタログ】フローンヌルサット・フローンヌルサットクリヤー.pdf,low_score<84.0,店舗ごと契約書/株式会社 Dart Ace/茅場町店　床補修案件/【カタログ】フローンヌルサット・フローンヌルサットクリヤー.pdf
