tenpo_id,torihikisaki_id,yagou_id,name,jotai
TENPO#0001,TORI#0001,YAGOU#0001,maya 五反田店,yuko
TENPO#0002,TORI#0001,YAGOU#0001,ネパール・インド・チベット料理　maya 店舗未設定,yuko
TENPO#0003,TORI#0002,YAGOU#0002,西谷店,yuko
TENPO#0004,TORI#0003,YAGOU#0003,横浜元町 de 焼肉DOURAKU(どうらく),yuko
TENPO#0005,TORI#0004,YAGOU#0004,ただいま変身中,yuko
TENPO#0006,TORI#0005,YAGOU#0005,本店,yuko
TENPO#0007,TORI#0006,YAGOU#0006,https://www.notion.so泉岳寺駅前店,yuko
TENPO#0008,TORI#0007,YAGOU#0007,蕨店,yuko
TENPO#0009,TORI#0008,YAGOU#0008,SMITH BURGER CLUB,yuko
TENPO#0010,TORI#0009,YAGOU#0009,神田店,yuko
TENPO#0011,TORI#0010,YAGOU#0010,東陽町店,yuko
TENPO#0012,TORI#0010,YAGOU#0010,新小岩店,yuko
TENPO#0013,TORI#0011,YAGOU#0011,池袋東口店,yuko
TENPO#0014,TORI#0011,YAGOU#0012,渋谷店,yuko
TENPO#0015,TORI#0011,YAGOU#0012,池袋店,yuko
TENPO#0016,TORI#0011,YAGOU#0013,渋谷駅前店,yuko
TENPO#0017,TORI#0012,YAGOU#0014,麹町店,yuko
TENPO#0018,TORI#0012,YAGOU#0014,西新宿店,yuko
TENPO#0019,TORI#0013,YAGOU#0015,火鍋 小肥羊 銀座店,yuko
TENPO#0020,TORI#0014,YAGOU#0016,モンキーツリー 店舗未設定,yuko
TENPO#0021,TORI#0015,YAGOU#0017,代々木店,yuko
TENPO#0022,TORI#0015,YAGOU#0017,中目黒本店,yuko
TENPO#0023,TORI#0015,YAGOU#0017,中野店,yuko
TENPO#0024,TORI#0015,YAGOU#0018,中野製作所 まんてん別館,yuko
TENPO#0025,TORI#0016,YAGOU#0019,大塚店,yuko
TENPO#0026,TORI#0016,YAGOU#0020,高円寺店,yuko
TENPO#0027,TORI#0016,YAGOU#0020,水道橋店,yuko
TENPO#0028,TORI#0016,YAGOU#0020,神楽坂店,yuko
TENPO#0029,TORI#0016,YAGOU#0019,日本橋茅場町店,yuko
TENPO#0030,TORI#0017,YAGOU#0021,蕎麦割烹居酒屋　更科天狐,yuko
TENPO#0031,TORI#0018,YAGOU#0022,鮨 輝らく,yuko
TENPO#0032,TORI#0018,YAGOU#0022,麺と肴　担々麺 ペン坊,yuko
TENPO#0033,TORI#0019,YAGOU#0023,とく山 店舗未設定,yuko
TENPO#0034,TORI#0019,YAGOU#0024,本店,yuko
TENPO#0035,TORI#0020,YAGOU#0025,ららぽーと横浜,yuko
TENPO#0036,TORI#0020,YAGOU#0025,ルミネ立川,yuko
TENPO#0037,TORI#0020,YAGOU#0025,ラゾーナ川崎,yuko
TENPO#0038,TORI#0021,YAGOU#0026,青山店,yuko
TENPO#0039,TORI#0021,YAGOU#0026,渋谷店,yuko
TENPO#0040,TORI#0021,YAGOU#0026,五反田店,yuko
TENPO#0041,TORI#0022,YAGOU#0027,らぁ麺はつ穂 店舗未設定,yuko
TENPO#0042,TORI#0022,YAGOU#0028,麹町店,yuko
TENPO#0043,TORI#0022,YAGOU#0029,新宿店,yuko
TENPO#0044,TORI#0022,YAGOU#0028,新橋店,yuko
TENPO#0045,TORI#0022,YAGOU#0030,平河町店,yuko
TENPO#0046,TORI#0023,YAGOU#0031,ラゾーナ川崎店,yuko
TENPO#0047,TORI#0024,YAGOU#0032,南口店,yuko
TENPO#0048,TORI#0025,YAGOU#0033,代々木店,yuko
TENPO#0049,TORI#0025,YAGOU#0034,新河岸駅前店,yuko
TENPO#0050,TORI#0026,YAGOU#0035,ホルモンのマンモス 店舗未設定,yuko
TENPO#0051,TORI#0026,YAGOU#0036,大井町店,yuko
TENPO#0052,TORI#0026,YAGOU#0036,錦糸町店,yuko
TENPO#0053,TORI#0026,YAGOU#0036,新橋店,yuko
TENPO#0054,TORI#0026,YAGOU#0037,トオダ,yuko
TENPO#0055,TORI#0026,YAGOU#0038,マンモス,yuko
TENPO#0056,TORI#0026,YAGOU#0039,新橋本店,yuko
TENPO#0057,TORI#0026,YAGOU#0039,弐,yuko
TENPO#0058,TORI#0026,YAGOU#0040,ニューイブシオ,yuko
TENPO#0059,TORI#0026,YAGOU#0041,ニューサカナヤキオ,yuko
TENPO#0060,TORI#0027,YAGOU#0042,大衆寿司酒場こがね,yuko
TENPO#0061,TORI#0027,YAGOU#0042,大衆寿司酒場 こがね商店,yuko
TENPO#0062,TORI#0027,YAGOU#0042,大衆焼肉酒場こがね,yuko
TENPO#0063,TORI#0027,YAGOU#0042,大衆串焼き酒場こがね,yuko
TENPO#0064,TORI#0028,YAGOU#0043,竹祥,yuko
TENPO#0065,TORI#0029,YAGOU#0044,THE MARK GRAND HOTEL,yuko
TENPO#0066,TORI#0030,YAGOU#0045,赤塚店,yuko
TENPO#0067,TORI#0030,YAGOU#0046,平和台店,yuko
TENPO#0068,TORI#0031,YAGOU#0047,神田南口店,yuko
TENPO#0069,TORI#0031,YAGOU#0047,高円寺ガード下店,yuko
TENPO#0070,TORI#0031,YAGOU#0047,新橋店,yuko
TENPO#0071,TORI#0032,YAGOU#0048,大勝軒まるいち 新宿東南口店,yuko
TENPO#0072,TORI#0033,YAGOU#0049,日本橋浜町,yuko
TENPO#0073,TORI#0033,YAGOU#0049,立呑 富士屋本店,yuko
TENPO#0074,TORI#0034,YAGOU#0050,たまき新宿2代目店,yuko
TENPO#0075,TORI#0035,YAGOU#0051,新宿東口駅前スタジアム,yuko
TENPO#0076,TORI#0036,YAGOU#0052,焼肉 松の屋,yuko
TENPO#0077,TORI#0037,YAGOU#0053,ようさい,yuko
TENPO#0078,TORI#0038,YAGOU#0054,新橋本店,yuko
TENPO#0079,TORI#0039,YAGOU#0055,inu to hito,yuko
TENPO#0080,TORI#0040,YAGOU#0056,Mahaloh Import Shop,yuko
TENPO#0081,TORI#0041,YAGOU#0057,工場,yuko
TENPO#0082,TORI#0041,YAGOU#0057,別館,yuko
TENPO#0083,TORI#0041,YAGOU#0057,本店,yuko
TENPO#0084,TORI#0041,YAGOU#0057,大井町店,yuko
TENPO#0085,TORI#0041,YAGOU#0057,大森店,yuko
TENPO#0086,TORI#0041,YAGOU#0057,神田店,yuko
TENPO#0087,TORI#0041,YAGOU#0057,渋谷店,yuko
TENPO#0088,TORI#0042,YAGOU#0058,王子店,yuko
TENPO#0089,TORI#0043,YAGOU#0059,北千住店,yuko
TENPO#0090,TORI#0044,YAGOU#0060,渋谷店,yuko
TENPO#0091,TORI#0044,YAGOU#0061,水道橋店,yuko
TENPO#0092,TORI#0045,YAGOU#0062,上野駅前店,yuko
TENPO#0093,TORI#0045,YAGOU#0062,上野御徒町店,yuko
TENPO#0094,TORI#0045,YAGOU#0062,渋谷店,yuko
TENPO#0095,TORI#0046,YAGOU#0063,カイロライン 国分寺整体院,yuko
TENPO#0096,TORI#0047,YAGOU#0064,新橋店,yuko
TENPO#0097,TORI#0047,YAGOU#0065,本店,yuko
TENPO#0098,TORI#0047,YAGOU#0066,新橋店,yuko
TENPO#0099,TORI#0047,YAGOU#0067,はなれ新橋3号店,yuko
TENPO#0100,TORI#0047,YAGOU#0067,新橋2号店,yuko
TENPO#0101,TORI#0047,YAGOU#0067,新橋総本店,yuko
TENPO#0102,TORI#0048,YAGOU#0068,新橋バーラウンジ御殿,yuko
TENPO#0103,TORI#0049,YAGOU#0069,Bar ANIME HOLIC アニメホリック goldengai,yuko
TENPO#0104,TORI#0049,YAGOU#0069,Japanese Bar　猪鹿蝶,yuko
TENPO#0105,TORI#0049,YAGOU#0069,ディストピアBar KARMA　カルマ,yuko
TENPO#0106,TORI#0049,YAGOU#0069,オイスター&珍味 bar 不夜城,yuko
TENPO#0107,TORI#0050,YAGOU#0070,とんかつさくら,yuko
TENPO#0108,TORI#0051,YAGOU#0071,御座敷天婦羅　神楽坂 天孝,yuko
TENPO#0109,TORI#0037,YAGOU#0072,隣のロッヂ,yuko
TENPO#0110,TORI#0052,YAGOU#0073,MASSIMOTTVIO 店舗未設定,yuko
TENPO#0111,TORI#0053,YAGOU#0074,すし土風炉 登戸店,yuko
TENPO#0112,TORI#0054,YAGOU#0075,板前寿司愛宕店 店舗未設定,yuko
TENPO#0113,TORI#0055,YAGOU#0076,工場,yuko
TENPO#0114,TORI#0055,YAGOU#0076,三軒茶屋本店,yuko
TENPO#0115,TORI#0055,YAGOU#0077,神楽坂店,yuko
TENPO#0116,TORI#0056,YAGOU#0078,西麻布店,yuko
TENPO#0117,TORI#0057,YAGOU#0079,ZANGIRI Next 店舗未設定,yuko
TENPO#0118,TORI#0058,YAGOU#0080,サイゴンキッチン,yuko
TENPO#0119,TORI#0059,YAGOU#0081,市川店,yuko
TENPO#0120,TORI#0060,YAGOU#0082,発酵デリカテッセンカフェテリアKouji&ko,yuko
TENPO#0121,TORI#0061,YAGOU#0083,油そば 雷神 店舗未設定,yuko
TENPO#0122,TORI#0062,YAGOU#0084,ロケ弁エージェント 店舗未設定,yuko
TENPO#0123,TORI#0063,YAGOU#0085,神田小川町店 店舗未設定,yuko
TENPO#0124,TORI#0064,YAGOU#0086,桜ヶ丘店,yuko
TENPO#0125,TORI#0065,YAGOU#0087,宮崎辛麺　辛麺屋一輪,yuko
TENPO#0126,TORI#0066,YAGOU#0088,Aphrodite　アフロディーテ（ニューハーフバー）,yuko
TENPO#0127,TORI#0067,YAGOU#0089,マッスルボディメイク,yuko
TENPO#0128,TORI#0068,YAGOU#0090,ビストロ エヴォルテ,yuko
TENPO#0129,TORI#0069,YAGOU#0091,米と魚　さかなさま,yuko
TENPO#0130,TORI#0070,YAGOU#0092,渋谷円山町店,yuko
TENPO#0131,TORI#0071,YAGOU#0093,片山鶏肉店,yuko
TENPO#0132,TORI#0071,YAGOU#0093,atomic BAR,yuko
TENPO#0133,TORI#0072,YAGOU#0094,赤坂店,yuko
TENPO#0134,TORI#0073,YAGOU#0095,丸鶏 るいすけ 店舗未設定,yuko
TENPO#0135,TORI#0074,YAGOU#0096,横浜店,yuko
TENPO#0136,TORI#0074,YAGOU#0097,新虎通りcore店,yuko
TENPO#0137,TORI#0075,YAGOU#0098,日比谷店,yuko
TENPO#0138,TORI#0075,YAGOU#0098,渋谷店,yuko
TENPO#0139,TORI#0005,YAGOU#0099,日本橋玉ゐ本店,yuko
